sentimen,tweet_clean
negatif,kata prabowo indonesia tidak dihargai bangsa asing berita ini pasti hoax buatan penguasa ya kan rockygerung
netral,batuan langka tasbih jokowi hadiah dari habib luthfi seharga mercy
netral,di era jokowi ekonomi indonesia semakin baik 01 indonesia maju jokowi lagi jokowi menang total debat
positif,bagi sumatera selatan asian games berdampak pada ekonomi langsung diprediksi mencapai 18 5 triliun indonesia maju jokowi hebat
negatif,negara kita ngutang buat bangun infrastruktur yang sudah dipakai masyarakat terus masyarakatnya ngeluh karena negara ngutang setiap negara itu pasti ngutang utang bisa dibayar kalo negara dapat penghasilan penghasilan negara itu ya dari pajak
netral,yang bisikin pak jokowi cuma memikirkan perputaran duit di golongan tertentu e sports hanya sebagian kecil dari sekian besar penentu pertumbuhan perekonomian indonesia bukan hal fundamental betul yang dikatakan prabowo walau dengan bahasa yang sederhana tapi mrpkan aspek fundamental ekonomi
positif,masa tenang masih mengoceh saja tetap jokowi harga mati
positif,uasdifitnah keji balas di tps kerjasa ekonomi bilateral multilateral kita doakan di tps sambil dengarkan suara hati uasdifitnah keji balas di tps
netral,iya benar aa kita mantap kan pilihan ke pemimpin yang bisa memberi solusi jokowi bukan yang menyalahkan pemimpin sebelumnya sbyudhoyono dismash sama mas bowo percuma koalisi kalau mengantam teman koalisi yang pulang penting pilih pemimpin yang rajin ibadah wajib bisa mengaji jumatan
negatif,prabowo sandi sepakat tak ambil gaji karena negara sedang susah go aceh
positif,pilih orang baik pilih jelas islamnya pilih baju putih pilih pemimpin itu yang sudah jelas banyak pencapaiannya nah ini dia 5 pencapaian ekonomi selama pemerintahan jokowi coblos 01 yuk kerja pasti
positif,calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu bukan berarti memberikan gaji secara cuma cuma bagi masyarakat yang belum berpenghasilan 2019 jokowi kyai maruf
negatif,enggak nginti lu tapi yunartowijaya dan si at abdillahtoha juga enggak mengaca enggak usah mengajari sandi soal ekonomi dibanding jokowi
positif,menurut jokowi pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal petani sebagai produsen senang karena hasil kerjanya dihargai secara layak 2019 jokowi kyai maruf rakyat ingin jokowi menang
netral,terlalu berat nge bahas ekonomi dengan angka2 cukup bahas mobil lejen saja
