sentimen,tweet_clean2
negatif,prabowo indonesia dihargai bangsa asing berita hoax buatan penguasa ya rockygerung
netral,batuan langka tasbih jokowi hadiah habib luthfi seharga mercy
netral,era jokowi ekonomi indonesia 01 indonesia maju jokowi jokowi menang total debat
positif,sumatera selatan asian games berdampak ekonomi langsung diprediksi mencapai 18 5 triliun indonesia maju jokowi hebat
negatif,negara ngutang bangun infrastruktur dipakai masyarakat masyarakatnya ngeluh negara ngutang negara ngutang utang dibayar kalo negara penghasilan penghasilan negara ya pajak
netral,bisikin jokowi memikirkan perputaran duit golongan e sports sekian penentu pertumbuhan perekonomian indonesia fundamental prabowo bahasa sederhana mrpkan aspek fundamental ekonomi
positif,tenang mengoceh jokowi harga mati
positif,uasdifitnah keji balas tps kerjasa ekonomi bilateral multilateral doakan tps dengarkan suara hati uasdifitnah keji balas tps
netral,iya aa mantap pilihan pemimpin solusi jokowi menyalahkan pemimpin sbyudhoyono dismash mas bowo koalisi mengantam teman koalisi pulang pilih pemimpin rajin ibadah wajib mengaji jumatan
negatif,prabowo sandi sepakat ambil gaji negara susah go aceh
positif,pilih orang pilih islamnya pilih baju putih pilih pemimpin pencapaiannya 5 pencapaian ekonomi pemerintahan jokowi coblos 01 yuk kerja
positif,calon presiden jokowi program kartu pra kerja insentif kurun gaji masyarakat berpenghasilan 2019 jokowi kyai maruf
negatif,nginti lu yunartowijaya si at abdillahtoha mengaca mengajari sandi ekonomi dibanding jokowi
positif,jokowi pemerintah berupaya menjaga keseimbangan harga posisi normal petani produsen senang hasil kerjanya dihargai layak 2019 jokowi kyai maruf rakyat jokowi menang
netral,berat nge bahas ekonomi angka2 bahas mobil lejen
netral,mantulz mengisi tenang umroh keluarga tercinta istri anak-anak ahirnya keluarga asset pulang berharga sehat pakdeee
positif,pilih orang pilih islamnya pilih baju putih sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian coblos 01 yuk kerja
positif,16 pakta integritas prabowo sandi ulama terlibat ijtimak ulama pancasila nkri harga mati khilafah khilafah bualan makhluk kolam uasdifitnah keji brutal uasdifitnah keji balas tps
netral,dengar mbak vidya curup beli lipstik purbasari harga 25 ribu beli lipstik nyx 25 ribu
positif,prabowo tni puluhan ambil gajinya serupiah sandi wagub susah ya cari orang ambil gaji hasil kerja negara
netral,assalamu alaikum 1 suara berharga upaya memenangkan 02 prabowo sandiuno merelakan suara jakarta ktp daerah semoga suara disertakan terbalaskan doa semoga allah swt mengabulkan amin ya rabb
negatif,terpilih prabowo sandiaga janji ambil gaji orang orang superkaya mbok ya rendah hatilah kata-kata berkonotasi angkuh echobox 1555171378
negatif,prabowo menghargai relawan puasa tirakatan munajad semalam suntuk berdoa kemenangan 02 mhn dibalas tweet kontribusi ngopi rokok dll tirakat mujahadah 02 gagal ayo tirakat munajad
positif,prabowo sandi menang otomatis bersedekah kaum farkir miskin dhuafa gaji berfua diambil disedekahkan 17 april tusuk prabowo sandi
positif,pilih orang pilih islamnya pilih baju putih kepercayaan berpengalaman jokowi memiliki wakil berpengalaman dibidang ekonomi coblos yuk 01 ya
negatif,ummat islam waras cerdas senang beramal coblos prabowo andil beramal gaji beliau diambil amal
positif,pilih orang pilih islamnya pilih baju putih keberhasilan dibidang infrastruktur jokowi berhasil memperbaiki ekonomi indonesia coblos yuk 01 ya
negatif,model ngeles petruk ketaker ber busa2 didepan sandi mengomongkan ekonomi makro congkaknya untung sandi nya sabar kick pantesan menteri2nya pintar2 mbodoni juragannya kayak pek kak nya uasdifitnah keji balas tps prabowo sandiuno
positif,memilih 02 bersodakoh prabowo sandi menyumbangkan gaji negara fakir miskin yatim piatu masjid jadikan prabowo sandi presiden wakil presiden ri save uas
positif,alhamdulillah capres 02 sedekahkan gajinya rakyat miskin korban2 gempa2 pasigala butuh bantuan prabowo sandiuno karniilyas rockygerung prabowo sandi 02 menang adil makmur
netral,no 5 sayah percaya saudara seperjuangan 02 ikhlas negeri berubah lebik masyarakatnya damai tenang aman kesejahteraan meningkat harga2 rendah stabil uasdifitnah keji balas tps uasdifitnah keji balas tps
negatif,divhumas polri gakan meladeni pulisi pulisi gaji jokowi pakai duit jokowi bukaan rakyat lapor nya tunggu ganti presiden uasdifitnah keji brutal uasdifitnah keji brutal uasdifitnah keji brut
