sentimen,tweet,tweet_clean
negatif,"Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini ðŸ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðŸ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â â€¦",kata prabowo indonesia tidak harga bangsa asing berita ini pasti hoax buat kuasa ya kan rockygerung
netral,"Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZVÂ ",batu langka tasbih jokowi hadiah dari habib luthfi harga mercy
netral,"Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp",di era jokowi ekonomi indonesia makin baik 01 indonesia maju jokowi lagi jokowi menang total debat
positif,"Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!",bagi sumatera selatan asi games dampak pd ekonomi langsung prediksi capai 18 5 triliun indonesia maju jokowi hebat
negatif,"Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak",negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat terus masyarakat ngeluh karena negara ngutang tiap negara itu pasti ngutang utang bisa bayar kalo negara dapet hasil hasil negara itu ya dari pajak
netral,"Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi",yg bisikin pak jokowi cm mikirin putar duit di golong tentu e sports hanya bagi kecil dr sekian besar tentu tumbuh ekonomi indonesia bukan hal fundamental betul yg kata prabowo walau dgn bhs yg sederhana tp mrpkan aspek fundamental ekonomi
positif,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,masa tenang msih ngoceh aja ttp jokowi harga mati
positif,"#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS",uasdifitnah keji balas di tps kerjasa ekonomi bilateral multilateral kita doa di tps sambil dengar suara hati uasdifitnah keji balas di tps
netral,"Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi ðŸ˜‚ & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & JumatanðŸ™ðŸ‘",iya bener aa kita mantap kan pilih ke pimpin yg bs beri solusi jokowi bukan yg salah pimpin belum sbyudhoyono dismash sm mas bowo percuma koalisi klau mengantam tmn koalisi yg plg penting pilih pimpin yg rajin ibadah wajib bisa ngaji jumat
negatif,Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ .. ... #GoAceh,prabowo sandi sepakat tak ambil gaji karena negara sedang susah go aceh
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2OgymxtÂ ",pilih orang baik pilih jelas islam pilih baju putih pilih pimpin itu yg udh jelas banyak capai nah ini dia 5 capai ekonomi lama perintah jokowi coblos 01 yuk kerja pasti
positif,"Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. #2019JokowiKyaiMaruf pic.twitter.com/Nj2hhmiIzv",calon presiden jokowi jelas program kartu pra kerja akan beri insentif dalam kurun waktu tentu bukan arti beri gaji cara cuma cuma bagi masyarakat yang belum hasil 2019 jokowi kyai maruf
negatif,"Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.",gak nginti lu to yunartowijaya dan si at abdillahtoha juga gak ngacaaa gak usah ngajarin sandi soal ekonomi banding jokowi
positif,"Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. #2019JokowiKyaiMaruf #RakyatInginJokowiMenang  https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSoÂ ",turut jokowi perintah selalu upaya jaga imbang agar harga pada posisi normal tani bagai produsen senang karena hasil kerja harga cara layak 2019 jokowi kyai maruf rakyat ingin jokowi menang
netral,"Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,",terlalu berat nge bahas ekonomi dgn angka2 cukup bahas mobil lejen aj
netral,"mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðŸ‘ðŸ‘ðŸ‘",mantulz sekali pak isi masa tenang dg umroh sama kel cinta istri anak2 pada ahirnya memang keluarga lah asset plg harga sehat sll pakdeee
positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq,pilih orang baik pilih jelas islam pilih baju putih penting sisi industri kreatif dan inovatif di era industri global buat jokowi gerak untuk ubah badan ekonomi kreatif bekraf jadi buah menteri coblos 01 yuk kerja pasti
positif,"dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS",dalam 16 pakta integritas antara prabowo sandi dan ulama yg libat dalam ijtimak ulama sudah sangat jelas bahwa pancasila dan nkri itu adalah harga mati tidak ada itu khilafah khilafah hanya bual para makhluk di kolam uasdifitnah keji dan brutal uasdifitnah keji balas di tps
netral,"Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­",saya dengar pak mbak vidya dari curup dulu beli lipstik purbasari harga 25 ribu tapi sekarang beli lipstik nyx gak cukup 25 ribu
